prompt,completion
Generate a fantasy weapon of type: whip,"Name: Flail of Darkness
Damage Type: Acid
Damage: 1d6
Properties: Ancient, Enchanted, Legendary
Description: This whip hums an ancient melody when held by a true hero."
Generate a name for a arcane falchion with the following properties: vorpal,Whip of Frost
Write a description for a weapon called 'Whip of Frost',"A falchion of terrifying presence, summons spectral allies in battle upon its enemies."
Generate a fantasy weapon of type: falchion,"Name: Whip of Frost
Damage Type: Arcane
Damage: 1d8
Properties: Vorpal
Description: A falchion of terrifying presence, summons spectral allies in battle upon its enemies."
"Generate a name for a nature axe with the following properties: vorpal, runic",Glaive of terrifying presence
Write a description for a weapon called 'Glaive of terrifying presence',"A axe of unfathomable lightness, grows in power during the night upon its enemies."
Generate a fantasy weapon of type: axe,"Name: Glaive of terrifying presence
Damage Type: Nature
Damage: 3d6
Properties: Vorpal, Runic
Description: A axe of unfathomable lightness, grows in power during the night upon its enemies."
Generate a name for a void crossbow with the following properties: berserker,The Ivory Bow
Write a description for a weapon called 'The Ivory Bow',This crossbow never requires sharpening when facing demons or undead.
Generate a fantasy weapon of type: crossbow,"Name: The Ivory Bow
Damage Type: Void
Damage: 1d8
Properties: Berserker
Description: This crossbow never requires sharpening when facing demons or undead."
"Generate a name for a psychic bow with the following properties: ancient, ethereal, vorpal",Infernal Pike
Write a description for a weapon called 'Infernal Pike',"When bathed in moonlight, this bow instills fear in enemies."
Generate a fantasy weapon of type: bow,"Name: Infernal Pike
Damage Type: Psychic
Damage: 3d8
Properties: Ancient, Ethereal, Vorpal
Description: When bathed in moonlight, this bow instills fear in enemies."
Generate a name for a void falchion with the following properties: berserker,The Jade Blade
Write a description for a weapon called 'The Jade Blade',"A falchion of royal heritage, cleaves through reality itself upon its enemies."
Generate a fantasy weapon of type: falchion,"Name: The Jade Blade
Damage Type: Void
Damage: 1d6
Properties: Berserker
Description: A falchion of royal heritage, cleaves through reality itself upon its enemies."
Generate a name for a thunder falchion with the following properties: ,Gloom Wand
Write a description for a weapon called 'Gloom Wand',"When during a storm, this falchion returns to the wielder's hand when thrown."
Generate a fantasy weapon of type: falchion,"Name: Gloom Wand
Damage Type: Thunder
Damage: 3d12
Properties: 
Description: When during a storm, this falchion returns to the wielder's hand when thrown."
Generate a name for a void axe with the following properties: ,Axe of Doom
Write a description for a weapon called 'Axe of Doom',"Said to have belonged to Oracle Zephyrus, this axe strikes with the force of lightning."
Generate a fantasy weapon of type: axe,"Name: Axe of Doom
Damage Type: Void
Damage: 3d8
Properties: 
Description: Said to have belonged to Oracle Zephyrus, this axe strikes with the force of lightning."
Generate a name for a radiant bow with the following properties: ,Havoc Lance of the Abyss
Write a description for a weapon called 'Havoc Lance of the Abyss',"A bow of divine blessing, grows in power during the night upon its enemies."
Generate a fantasy weapon of type: bow,"Name: Havoc Lance of the Abyss
Damage Type: Radiant
Damage: 3d10
Properties: 
Description: A bow of divine blessing, grows in power during the night upon its enemies."
"Generate a name for a lightning katana with the following properties: vampiric, cursed",Wand of Glory
Write a description for a weapon called 'Wand of Glory',Legend says this katana was created by ancient elven smiths. It leaves trails of elemental energy. Small sparks dance across the surface when wielded.
Generate a fantasy weapon of type: katana,"Name: Wand of Glory
Damage Type: Lightning
Damage: 3d8
Properties: Vampiric, Cursed
Description: Legend says this katana was created by ancient elven smiths. It leaves trails of elemental energy. Small sparks dance across the surface when wielded."
"Generate a name for a psychic katana with the following properties: vampiric, balanced",Greataxe of Frost
Write a description for a weapon called 'Greataxe of Frost',"Wielded long ago by King Thoran, this katana can cut through any armor."
Generate a fantasy weapon of type: katana,"Name: Greataxe of Frost
Damage Type: Psychic
Damage: 1d8
Properties: Vampiric, Balanced
Description: Wielded long ago by King Thoran, this katana can cut through any armor."
"Generate a name for a holy maul with the following properties: mythical, enchanted, vorpal",Mystic Mace
Write a description for a weapon called 'Mystic Mace',"A maul made from the bones of a god, it leaves wounds that never heal with every strike."
Generate a fantasy weapon of type: maul,"Name: Mystic Mace
Damage Type: Holy
Damage: 1d12
Properties: Mythical, Enchanted, Vorpal
Description: A maul made from the bones of a god, it leaves wounds that never heal with every strike."
"Generate a name for a poison staff with the following properties: cursed, sentient, soulbound",Radiant Pike of the Elements
Write a description for a weapon called 'Radiant Pike of the Elements',"A staff constructed by clockwork gnomes, it leaves trails of elemental energy with every strike."
Generate a fantasy weapon of type: staff,"Name: Radiant Pike of the Elements
Damage Type: Poison
Damage: 2d8
Properties: Cursed, Sentient, Soulbound
Description: A staff constructed by clockwork gnomes, it leaves trails of elemental energy with every strike."
Generate a name for a thunder dagger with the following properties: ,Claymore of haunting beauty
Write a description for a weapon called 'Claymore of haunting beauty',"Wielded long ago by Archmage Vexus, this dagger emits blinding light on command."
Generate a fantasy weapon of type: dagger,"Name: Claymore of haunting beauty
Damage Type: Thunder
Damage: 1d10
Properties: 
Description: Wielded long ago by Archmage Vexus, this dagger emits blinding light on command."
"Generate a name for a blood halberd with the following properties: ancient, sharpened, soulbound",Rapier of divine blessing
Write a description for a weapon called 'Rapier of divine blessing',"the Fey Queen's favored halberd, known to leaves wounds that never heal."
Generate a fantasy weapon of type: halberd,"Name: Rapier of divine blessing
Damage Type: Blood
Damage: 1d8
Properties: Ancient, Sharpened, Soulbound
Description: the Fey Queen's favored halberd, known to leaves wounds that never heal."
"Generate a name for a holy pike with the following properties: legendary, ancient",Frost Whip of Dreams
Write a description for a weapon called 'Frost Whip of Dreams',"Queen Elyndra's favored pike, known to heals the wielder with each strike."
Generate a fantasy weapon of type: pike,"Name: Frost Whip of Dreams
Damage Type: Holy
Damage: 1d12
Properties: Legendary, Ancient
Description: Queen Elyndra's favored pike, known to heals the wielder with each strike."
Generate a name for a shadow spear with the following properties: mythical,Claymore of boundless rage
Write a description for a weapon called 'Claymore of boundless rage',This spear radiates with celestial power when during the wielder's greatest need. The weapon seems to absorb light from its surroundings.
Generate a fantasy weapon of type: spear,"Name: Claymore of boundless rage
Damage Type: Shadow
Damage: 3d12
Properties: Mythical
Description: This spear radiates with celestial power when during the wielder's greatest need. The weapon seems to absorb light from its surroundings."
"Generate a name for a ice longbow with the following properties: ethereal, elemental, sentient",Tempest Katana
Write a description for a weapon called 'Tempest Katana',"Said to have belonged to Blacksmith Durin, this longbow instills fear in enemies."
Generate a fantasy weapon of type: longbow,"Name: Tempest Katana
Damage Type: Ice
Damage: 1d4
Properties: Ethereal, Elemental, Sentient
Description: Said to have belonged to Blacksmith Durin, this longbow instills fear in enemies."
"Generate a name for a radiant wand with the following properties: mythical, ancient",Blazing Longbow of Doom
Write a description for a weapon called 'Blazing Longbow of Doom',Legend says this wand was pulled from the heart of a volcano. It causes foes to flee in terror.
Generate a fantasy weapon of type: wand,"Name: Blazing Longbow of Doom
Damage Type: Radiant
Damage: 2d10
Properties: Mythical, Ancient
Description: Legend says this wand was pulled from the heart of a volcano. It causes foes to flee in terror."
"Generate a name for a physical greataxe with the following properties: sentient, balanced",Jinx Longsword of Storms
